Parameter,Scenario 1 (Baseline),Scenario 2 (Recombination sweep),Scenario 3 (Population structure)
Mutation rate (μ),1×10⁻⁸,1×10⁻⁸,1×10⁻⁸
Effective population size (Ne),"10,000 → 1,000 (bottleneck)","10,000 → 1,000–20,000","10,000 → 1,000–20,000"
Selfing rate,95%,95%,95%
Drug selection coefficient (s),0.3,0.145–0.3,0.145–0.3
Recombination rate (r),1×10⁻⁹ (fixed),1×10⁻⁹ – 1×10⁻⁶,1×10⁻⁹ – 1×10⁻⁶
Number of subpopulations,1,1,3
Migration rate (m),N/A,N/A,"0.001, 0.010, 0.050"
Sample size (n),"100, 200, 400","100, 200, 400","100, 200, 400"
Sampling proportion,"5%, 10%, 20%","5%, 10%, 20%","5%, 10%, 20%"
Replicates per condition,20,20,20
