p1	p2	dcifer
SPT35309	SPT35323	0
SPT35309	SPT35324	0
SPT35309	SPT35374	0.006
SPT35309	SPT35459	0
SPT35309	SPT35471	0
SPT35309	SPT35509	0
SPT35309	SPT35551	0
SPT35309	SPT35556	0
SPT35309	SPT35564	0
SPT35309	SPT35566	0.006
SPT35309	SPT35587	0
SPT35309	SPT35673	0
SPT35309	SPT35681	0.004
SPT35309	SPT35752	0
SPT35309	SPT35334	0
SPT35309	SPT35469	0
SPT35309	SPT35332	0
SPT35309	SPT35351	0.025
SPT35309	SPT35355	0.017
SPT35309	SPT35420	0.001
SPT35309	SPT35502	0
SPT35309	SPT35412	0
SPT35309	SPT35446	0
SPT35309	SPT35450	0.022
SPT35309	SPT35474	0
SPT35309	SPT35503	0
SPT35309	SPT35571	0
SPT35309	SPT35575	0.001
SPT35309	SPT35592	0
SPT35309	SPT35766	0.006
SPT35309	SPT35500	0
SPT35309	SPT35508	0
SPT35309	SPT35313	0
SPT35309	SPT35328	0.048
SPT35309	SPT35330	0
SPT35309	SPT35362	0
SPT35309	SPT35430	0
SPT35309	SPT35431	0
SPT35309	SPT35453	0.005
SPT35309	SPT35317	0
SPT35309	SPT35318	0
SPT35309	SPT35320	0.002
SPT35309	SPT35321	0
SPT35309	SPT35322	0
SPT35309	SPT35333	0
SPT35309	SPT35341	0
SPT35309	SPT35342	0.009
SPT35309	SPT35346	0
SPT35309	SPT35347	0
SPT35309	SPT35352	0.002
SPT35309	SPT35361	0
SPT35309	SPT35363	0
SPT35309	SPT35389	0.022
SPT35309	SPT35425	0.007
SPT35309	SPT35435	0
SPT35309	SPT35443	0.003
SPT35309	SPT35447	0.001
SPT35309	SPT35448	0
SPT35309	SPT35449	0
SPT35309	SPT35458	0
SPT35309	SPT35461	0.003
SPT35309	SPT35462	0
SPT35309	SPT35463	0
SPT35309	SPT35487	0
SPT35309	SPT35501	0
SPT35309	SPT35510	0.007
SPT35309	SPT35511	0
SPT35309	SPT35514	0
SPT35309	SPT35515	0
SPT35309	SPT35516	0
SPT35309	SPT35517	0
SPT35309	SPT35518	0
SPT35309	SPT35519	0.002
SPT35309	SPT35520	0.015
SPT35309	SPT35521	0
SPT35309	SPT35522	0.003
SPT35309	SPT35523	0
SPT35309	SPT35524	0
SPT35309	SPT35525	0
SPT35309	SPT35526	0
SPT35309	SPT35529	0
SPT35309	SPT35532	0
SPT35309	SPT35537	0
SPT35309	SPT35538	0
SPT35309	SPT35541	0
SPT35309	SPT35543	0
SPT35309	SPT35544	0
SPT35309	SPT35546	0
SPT35309	SPT35547	0
SPT35309	SPT35552	0
SPT35309	SPT35553	0
SPT35309	SPT35557	0.001
SPT35309	SPT35561	0.003
SPT35309	SPT35563	0
SPT35309	SPT35567	0
SPT35309	SPT35576	0
SPT35309	SPT35577	0
SPT35309	SPT35580	0
SPT35309	SPT35583	0
SPT35309	SPT35584	0
SPT35309	SPT35585	0
SPT35309	SPT35302	0
SPT35309	SPT35303	0
SPT35309	SPT35304	0.015
SPT35309	SPT35306	0
SPT35309	SPT35308	0.017
SPT35309	SPT35310	1
SPT35309	SPT35315	0.033
SPT35309	SPT35325	0
SPT35309	SPT35336	0
SPT35309	SPT35337	0
SPT35309	SPT35338	0
SPT35309	SPT35340	0.022
SPT35309	SPT35348	0
SPT35309	SPT35349	0
SPT35309	SPT35354	0
SPT35309	SPT35356	0
SPT35309	SPT35357	0
SPT35309	SPT35360	0
SPT35309	SPT35365	0
SPT35309	SPT35366	0
SPT35309	SPT35368	0.003
SPT35309	SPT35369	0
SPT35309	SPT35370	0
SPT35309	SPT35373	0
SPT35309	SPT35377	0.023
SPT35309	SPT35378	0
SPT35309	SPT35379	0
SPT35309	SPT35382	0
SPT35309	SPT35384	0
SPT35309	SPT35390	0
SPT35309	SPT35407	0
SPT35309	SPT35410	0
SPT35309	SPT35414	0
SPT35309	SPT35417	0
SPT35309	SPT35418	0.003
SPT35309	SPT35419	0
SPT35309	SPT35423	0
SPT35309	SPT35436	0.008
SPT35309	SPT35444	0
SPT35309	SPT35316	0
SPT35309	SPT35331	0
SPT35309	SPT35339	0.009
SPT35309	SPT35364	0
SPT35309	SPT35372	0
SPT35309	SPT35405	0
SPT35309	SPT35424	0
SPT35309	SPT35427	0
SPT35309	SPT35437	0
SPT35309	SPT35440	0.002
SPT35309	SPT35467	0
SPT35309	SPT35468	0
SPT35309	SPT35470	0
SPT35309	SPT35472	0
SPT35309	SPT35475	0
SPT35309	SPT35476	0
SPT35309	SPT35485	0.002
SPT35309	SPT35499	0
SPT35309	SPT35780	0
SPT35323	SPT35324	0
SPT35323	SPT35374	0
SPT35323	SPT35459	0
SPT35323	SPT35471	0
SPT35323	SPT35509	0
SPT35323	SPT35551	0
SPT35323	SPT35556	0.003
SPT35323	SPT35564	0
SPT35323	SPT35566	0
SPT35323	SPT35587	0
SPT35323	SPT35673	0
SPT35323	SPT35681	0
SPT35323	SPT35752	0
SPT35323	SPT35334	0
SPT35323	SPT35469	0
SPT35323	SPT35332	0
SPT35323	SPT35351	0
SPT35323	SPT35355	0
SPT35323	SPT35420	0
SPT35323	SPT35502	0
SPT35323	SPT35412	0
SPT35323	SPT35446	0
SPT35323	SPT35450	0
SPT35323	SPT35474	0
SPT35323	SPT35503	0
SPT35323	SPT35571	0
SPT35323	SPT35575	0
SPT35323	SPT35592	0
SPT35323	SPT35766	0
SPT35323	SPT35500	0
SPT35323	SPT35508	0
SPT35323	SPT35313	1
SPT35323	SPT35328	0.036
SPT35323	SPT35330	0.986
SPT35323	SPT35362	0
SPT35323	SPT35430	0
SPT35323	SPT35431	0
SPT35323	SPT35453	0
SPT35323	SPT35317	0
SPT35323	SPT35318	0
SPT35323	SPT35320	0
SPT35323	SPT35321	0.348
SPT35323	SPT35322	0.056
SPT35323	SPT35333	0
SPT35323	SPT35341	0
SPT35323	SPT35342	0.01
SPT35323	SPT35346	0.25
SPT35323	SPT35347	0
SPT35323	SPT35352	0
SPT35323	SPT35361	0
SPT35323	SPT35363	0
SPT35323	SPT35389	0
SPT35323	SPT35425	0
SPT35323	SPT35435	0
SPT35323	SPT35443	0
SPT35323	SPT35447	0
SPT35323	SPT35448	0
SPT35323	SPT35449	0
SPT35323	SPT35458	0
SPT35323	SPT35461	0
SPT35323	SPT35462	0
SPT35323	SPT35463	0
SPT35323	SPT35487	0
SPT35323	SPT35501	0
SPT35323	SPT35510	0
SPT35323	SPT35511	0
SPT35323	SPT35514	0
SPT35323	SPT35515	0
SPT35323	SPT35516	0
SPT35323	SPT35517	0
SPT35323	SPT35518	0
SPT35323	SPT35519	0
SPT35323	SPT35520	0
SPT35323	SPT35521	0
SPT35323	SPT35522	0
SPT35323	SPT35523	0
SPT35323	SPT35524	0
SPT35323	SPT35525	0
SPT35323	SPT35526	0
SPT35323	SPT35529	0
SPT35323	SPT35532	0
SPT35323	SPT35537	0
SPT35323	SPT35538	0
SPT35323	SPT35541	0
SPT35323	SPT35543	0
SPT35323	SPT35544	0
SPT35323	SPT35546	0
SPT35323	SPT35547	0
SPT35323	SPT35552	0.012
SPT35323	SPT35553	0
SPT35323	SPT35557	0
SPT35323	SPT35561	0
SPT35323	SPT35563	0
SPT35323	SPT35567	0
SPT35323	SPT35576	0
SPT35323	SPT35577	0
SPT35323	SPT35580	0
SPT35323	SPT35583	0
SPT35323	SPT35584	0
SPT35323	SPT35585	0
SPT35323	SPT35302	0
SPT35323	SPT35303	0
SPT35323	SPT35304	0
SPT35323	SPT35306	0
SPT35323	SPT35308	0
SPT35323	SPT35310	0
SPT35323	SPT35315	0
SPT35323	SPT35325	0
SPT35323	SPT35336	0
SPT35323	SPT35337	0
SPT35323	SPT35338	0
SPT35323	SPT35340	0
SPT35323	SPT35348	0
SPT35323	SPT35349	0
SPT35323	SPT35354	0
SPT35323	SPT35356	0
SPT35323	SPT35357	0.058
SPT35323	SPT35360	0
SPT35323	SPT35365	0.003
SPT35323	SPT35366	0
SPT35323	SPT35368	0.009
