p1	p2	hmm
SPT35443	SPT35447	0.22902
SPT35443	SPT35444	0.22088
SPT35443	SPT35446	0.23913
SPT35443	SPT35503	0.22476
SPT35443	SPT35302	0.23244
SPT35443	SPT35508	0.23951
SPT35443	SPT35365	0.23432
SPT35443	SPT35449	0.23721
SPT35443	SPT35523	0.22961
SPT35443	SPT35338	0.21658
SPT35443	SPT35339	0.22752
SPT35443	SPT35372	0.22039
SPT35443	SPT35373	0.23014
SPT35443	SPT35587	0.23374
SPT35443	SPT35303	0.22908
SPT35443	SPT35356	0.22169
SPT35443	SPT35448	0.24007
SPT35443	SPT35364	0.22896
SPT35443	SPT35366	0.23091
SPT35443	SPT35524	0.22526
SPT35443	SPT35321	0.23924
SPT35443	SPT35374	0.24154
SPT35443	SPT35318	0.22599
SPT35443	SPT35453	0.2322
SPT35443	SPT35509	0.24158
SPT35443	SPT35450	0.23813
SPT35443	SPT35525	0.24816
SPT35443	SPT35510	0.24318
SPT35443	SPT35340	0.22314
SPT35443	SPT35583	0.23413
SPT35443	SPT35584	0.23571
SPT35443	SPT35585	0.23613
SPT35443	SPT35458	0.23606
SPT35443	SPT35500	0.2262
SPT35443	SPT35322	0.22485
SPT35443	SPT35377	0.22275
SPT35443	SPT35511	0.2451
SPT35443	SPT35323	0.22518
SPT35443	SPT35461	0.22669
SPT35443	SPT35462	0.2334
SPT35443	SPT35463	0.23066
SPT35443	SPT35341	0.24273
SPT35443	SPT35368	0.23542
SPT35443	SPT35378	0.23221
SPT35443	SPT35552	0.22211
SPT35443	SPT35551	0.23618
SPT35443	SPT35459	0.22708
SPT35443	SPT35474	0.2359
SPT35443	SPT35514	0.23802
SPT35443	SPT35519	0.22845
SPT35443	SPT35526	0.24543
SPT35443	SPT35501	0.20877
SPT35443	SPT35681	0.22541
SPT35443	SPT35467	0.24368
SPT35443	SPT35469	0.241
SPT35443	SPT35470	0.23393
SPT35443	SPT35468	0.23303
SPT35443	SPT35471	0.23612
SPT35443	SPT35379	0.24182
SPT35443	SPT35472	0.22191
SPT35443	SPT35529	0.24557
SPT35443	SPT35517	0.24336
SPT35443	SPT35516	0.23275
SPT35443	SPT35360	0.23139
SPT35443	SPT35515	0.24582
SPT35443	SPT35518	0.24107
SPT35443	SPT35475	0.2427
SPT35443	SPT35520	0.23472
SPT35443	SPT35324	0.22465
SPT35443	SPT35476	0.24345
SPT35443	SPT35485	0.22725
SPT35443	SPT35389	0.22262
SPT35443	SPT35487	0.23872
SPT35443	SPT35369	0.23359
SPT35443	SPT35370	0.22422
SPT35443	SPT35382	0.23023
SPT35443	SPT35521	0.22959
SPT35443	SPT35553	0.23519
SPT35443	SPT35532	0.23387
SPT35443	SPT35384	0.23793
SPT35443	SPT35522	0.22817
SPT35443	SPT35361	0.23917
SPT35443	SPT35342	0.2338
SPT35443	SPT35556	0.23623
SPT35443	SPT35557	0.22534
SPT35443	SPT35328	0.23759
SPT35443	SPT35592	0.24019
SPT35443	SPT35435	0.23841
SPT35443	SPT35304	0.23517
SPT35443	SPT35390	0.22671
SPT35443	SPT35436	0.22497
SPT35443	SPT35580	0.23205
SPT35443	SPT35538	0.2299
SPT35443	SPT35537	0.23
SPT35443	SPT35320	0.24527
SPT35443	SPT35541	0.23474
SPT35443	SPT35673	0.23283
SPT35443	SPT35502	0.21516
SPT35443	SPT35330	0.22853
SPT35443	SPT35546	0.23209
SPT35443	SPT35547	0.23004
SPT35443	SPT35544	0.23009
SPT35443	SPT35362	0.21804
SPT35443	SPT35499	0.22639
SPT35443	SPT35336	0.23962
SPT35443	SPT35577	0.22253
SPT35443	SPT35325	0.23287
SPT35443	SPT35331	0.23227
SPT35443	SPT35337	0.22676
SPT35443	SPT35306	0.22908
SPT35443	SPT35407	0.23186
SPT35443	SPT35346	0.23537
SPT35443	SPT35405	0.23629
SPT35443	SPT35410	0.22925
SPT35443	SPT35575	0.22397
SPT35443	SPT35576	0.23358
SPT35443	SPT35766	0.22957
SPT35443	SPT35347	0.23133
SPT35443	SPT35412	0.23979
SPT35443	SPT35414	0.2371
SPT35443	SPT35348	0.23625
SPT35443	SPT35417	0.23527
SPT35443	SPT35571	0.23494
SPT35443	SPT35349	0.22897
SPT35443	SPT35351	0.22918
SPT35443	SPT35418	0.23122
SPT35443	SPT35419	0.22593
