p1	p2	malecotf
SPT35443	SPT35447	0
SPT35443	SPT35444	0
SPT35443	SPT35446	0
SPT35443	SPT35503	0
SPT35443	SPT35302	0
SPT35443	SPT35508	0
SPT35443	SPT35365	0
SPT35443	SPT35449	0
SPT35443	SPT35523	0
SPT35443	SPT35338	0
SPT35443	SPT35339	0
SPT35443	SPT35372	0
SPT35443	SPT35373	0
SPT35443	SPT35587	0
SPT35443	SPT35303	0
SPT35443	SPT35356	0
SPT35443	SPT35448	0
SPT35443	SPT35364	0
SPT35443	SPT35366	0
SPT35443	SPT35524	0
SPT35443	SPT35321	0
SPT35443	SPT35374	0
SPT35443	SPT35318	0
SPT35443	SPT35453	0
SPT35443	SPT35509	0
SPT35443	SPT35450	0
SPT35443	SPT35525	0
SPT35443	SPT35510	0
SPT35443	SPT35340	0
SPT35443	SPT35583	0
SPT35443	SPT35584	0
SPT35443	SPT35585	0
SPT35443	SPT35458	0
SPT35443	SPT35500	0
SPT35443	SPT35322	0
SPT35443	SPT35377	0
SPT35443	SPT35511	0
SPT35443	SPT35323	0
SPT35443	SPT35461	0
SPT35443	SPT35462	0
SPT35443	SPT35463	0
SPT35443	SPT35341	0
SPT35443	SPT35368	0
SPT35443	SPT35378	0
SPT35443	SPT35552	0
SPT35443	SPT35551	0
SPT35443	SPT35459	0
SPT35443	SPT35474	0
SPT35443	SPT35514	0
SPT35443	SPT35519	0
SPT35443	SPT35526	0
SPT35443	SPT35501	0
SPT35443	SPT35681	0
SPT35443	SPT35467	0
SPT35443	SPT35469	0
SPT35443	SPT35470	0
SPT35443	SPT35468	0
SPT35443	SPT35471	0
SPT35443	SPT35379	0
SPT35443	SPT35472	0
SPT35443	SPT35529	0
SPT35443	SPT35517	0
SPT35443	SPT35516	0
SPT35443	SPT35360	0
SPT35443	SPT35515	0
SPT35443	SPT35518	0.02
SPT35443	SPT35475	0
SPT35443	SPT35520	0
SPT35443	SPT35324	0
SPT35443	SPT35476	0
SPT35443	SPT35485	0
SPT35443	SPT35389	0
SPT35443	SPT35487	0
SPT35443	SPT35369	0
SPT35443	SPT35370	0
SPT35443	SPT35382	0
SPT35443	SPT35521	0
SPT35443	SPT35553	0
SPT35443	SPT35532	0
SPT35443	SPT35384	0
SPT35443	SPT35522	0
SPT35443	SPT35361	0
SPT35443	SPT35342	0
SPT35443	SPT35556	0
SPT35443	SPT35557	0
SPT35443	SPT35328	0.02
SPT35443	SPT35592	0
SPT35443	SPT35435	0
SPT35443	SPT35304	0
SPT35443	SPT35390	0
SPT35443	SPT35436	0
SPT35443	SPT35580	0
SPT35443	SPT35538	0
SPT35443	SPT35537	0
SPT35443	SPT35320	0
SPT35443	SPT35541	0
SPT35443	SPT35673	0
SPT35443	SPT35502	0
SPT35443	SPT35330	0
SPT35443	SPT35546	0
SPT35443	SPT35547	0
SPT35443	SPT35544	0
SPT35443	SPT35362	0
SPT35443	SPT35499	0
SPT35443	SPT35336	0
SPT35443	SPT35577	0
SPT35443	SPT35325	0
SPT35443	SPT35331	0
SPT35443	SPT35337	0
SPT35443	SPT35306	0
SPT35443	SPT35407	0
SPT35443	SPT35346	0
SPT35443	SPT35405	0
SPT35443	SPT35410	0
SPT35443	SPT35575	0
SPT35443	SPT35576	0
SPT35443	SPT35766	0
SPT35443	SPT35347	0
SPT35443	SPT35412	0
SPT35443	SPT35414	0
SPT35443	SPT35348	0
SPT35443	SPT35417	0
SPT35443	SPT35571	0
SPT35443	SPT35349	0
SPT35443	SPT35351	0
SPT35443	SPT35418	0
SPT35443	SPT35419	0
SPT35443	SPT35566	0
SPT35443	SPT35567	0.02
SPT35443	SPT35420	0
SPT35443	SPT35423	0
SPT35443	SPT35564	0
SPT35443	SPT35352	0
SPT35443	SPT35424	0
SPT35443	SPT35357	0
SPT35443	SPT35437	0
SPT35443	SPT35563	0.02
SPT35443	SPT35308	0
SPT35443	SPT35425	0.02
SPT35443	SPT35440	0
SPT35443	SPT35354	0
SPT35443	SPT35309	0
SPT35443	SPT35310	0
SPT35443	SPT35355	0
SPT35443	SPT35332	0
SPT35443	SPT35333	0
SPT35443	SPT35561	0
SPT35443	SPT35363	0
SPT35443	SPT35427	0
SPT35443	SPT35752	0
SPT35443	SPT35430	0
SPT35443	SPT35431	0
SPT35443	SPT35313	0
SPT35443	SPT35780	0
SPT35443	SPT35315	0
SPT35443	SPT35316	0
SPT35443	SPT35317	0
SPT35443	SPT35334	0
SPT35443	SPT35543	0
SPT35447	SPT35444	0
SPT35447	SPT35446	0
SPT35447	SPT35503	0
SPT35447	SPT35302	0
SPT35447	SPT35508	0
SPT35447	SPT35365	0
SPT35447	SPT35449	0
SPT35447	SPT35523	0
SPT35447	SPT35338	0.02
SPT35447	SPT35339	0
SPT35447	SPT35372	0
SPT35447	SPT35373	0
SPT35447	SPT35587	0
SPT35447	SPT35303	0
SPT35447	SPT35356	0
SPT35447	SPT35448	0
SPT35447	SPT35364	0
SPT35447	SPT35366	0
SPT35447	SPT35524	0
SPT35447	SPT35321	0
SPT35447	SPT35374	0
SPT35447	SPT35318	0
SPT35447	SPT35453	0
SPT35447	SPT35509	0
SPT35447	SPT35450	0
SPT35447	SPT35525	0
SPT35447	SPT35510	0
SPT35447	SPT35340	0
SPT35447	SPT35583	0
SPT35447	SPT35584	0
SPT35447	SPT35585	0
SPT35447	SPT35458	0
SPT35447	SPT35500	0
SPT35447	SPT35322	0
SPT35447	SPT35377	0
SPT35447	SPT35511	0
SPT35447	SPT35323	0
SPT35447	SPT35461	0
SPT35447	SPT35462	0
SPT35447	SPT35463	0
SPT35447	SPT35341	0
SPT35447	SPT35368	0
SPT35447	SPT35378	0
SPT35447	SPT35552	0
SPT35447	SPT35551	0
SPT35447	SPT35459	0
SPT35447	SPT35474	0
SPT35447	SPT35514	0
SPT35447	SPT35519	0
SPT35447	SPT35526	0
SPT35447	SPT35501	0
SPT35447	SPT35681	0
SPT35447	SPT35467	0
SPT35447	SPT35469	0
SPT35447	SPT35470	0
SPT35447	SPT35468	0
SPT35447	SPT35471	0
SPT35447	SPT35379	0
SPT35447	SPT35472	0
SPT35447	SPT35529	0
SPT35447	SPT35517	0
SPT35447	SPT35516	0
SPT35447	SPT35360	0
SPT35447	SPT35515	0
SPT35447	SPT35518	0.03
SPT35447	SPT35475	0
SPT35447	SPT35520	0
SPT35447	SPT35324	0
SPT35447	SPT35476	0
SPT35447	SPT35485	0
SPT35447	SPT35389	0
