p1	p2	ibs
SPT35443	SPT35447	0.802628897493377
SPT35443	SPT35444	0.80064109192431
SPT35443	SPT35446	0.812271062271062
SPT35443	SPT35503	0.805490594814438
SPT35443	SPT35302	0.815728292732235
SPT35443	SPT35508	0.815496661946187
SPT35443	SPT35365	0.809052333804809
SPT35443	SPT35449	0.819548070773822
SPT35443	SPT35523	0.80827334482409
SPT35443	SPT35338	0.802060189860634
SPT35443	SPT35339	0.803429203539823
SPT35443	SPT35372	0.804244567963618
SPT35443	SPT35373	0.805676194323806
SPT35443	SPT35587	0.816362566215421
SPT35443	SPT35303	0.803898593949723
SPT35443	SPT35356	0.805417972303649
SPT35443	SPT35448	0.814069264069264
SPT35443	SPT35364	0.807595192404808
SPT35443	SPT35366	0.808205335489086
SPT35443	SPT35524	0.8
SPT35443	SPT35321	0.810168806226625
SPT35443	SPT35374	0.808523530599879
SPT35443	SPT35318	0.80885027278238
SPT35443	SPT35453	0.807110747854516
SPT35443	SPT35509	0.811077235772358
SPT35443	SPT35450	0.811960058341748
SPT35443	SPT35525	0.822376480195998
SPT35443	SPT35510	0.809088908450704
SPT35443	SPT35340	0.804907603756437
SPT35443	SPT35583	0.805535912718456
SPT35443	SPT35584	0.810211554109032
SPT35443	SPT35585	0.817976373908577
SPT35443	SPT35458	0.81227254346947
SPT35443	SPT35500	0.806872157655382
SPT35443	SPT35322	0.807999192000808
SPT35443	SPT35377	0.805210542259921
SPT35443	SPT35511	0.821692853522555
SPT35443	SPT35323	0.807171717171717
SPT35443	SPT35461	0.803497422419893
SPT35443	SPT35462	0.814987341772152
SPT35443	SPT35463	0.80735427820992
SPT35443	SPT35341	0.814369442198868
SPT35443	SPT35368	0.810360496819146
SPT35443	SPT35378	0.808441886297082
SPT35443	SPT35552	0.801891862839944
SPT35443	SPT35551	0.809104859335038
SPT35443	SPT35459	0.805662285136502
SPT35443	SPT35474	0.815411097610369
SPT35443	SPT35514	0.813121059942302
SPT35443	SPT35519	0.800352441173422
SPT35443	SPT35526	0.821164556962025
SPT35443	SPT35501	0.79384677664204
SPT35443	SPT35681	0.801415571284125
SPT35443	SPT35467	0.820626895854398
SPT35443	SPT35469	0.814068825910931
SPT35443	SPT35470	0.816015348884176
SPT35443	SPT35468	0.8113742157458
SPT35443	SPT35471	0.814155712841254
SPT35443	SPT35379	0.812177502579979
SPT35443	SPT35472	0.800686938074553
SPT35443	SPT35529	0.821414100486224
SPT35443	SPT35517	0.814635132403477
SPT35443	SPT35516	0.81044957472661
SPT35443	SPT35360	0.810769852495454
SPT35443	SPT35515	0.815200890598118
SPT35443	SPT35518	0.808508488278092
SPT35443	SPT35475	0.820385897565411
SPT35443	SPT35520	0.805016181229773
SPT35443	SPT35324	0.806999797693708
SPT35443	SPT35476	0.817914682338636
SPT35443	SPT35485	0.805549929106745
SPT35443	SPT35389	0.80510956275876
SPT35443	SPT35487	0.813579872688694
SPT35443	SPT35369	0.808946783802888
SPT35443	SPT35370	0.810442334881842
SPT35443	SPT35382	0.812108348494037
SPT35443	SPT35521	0.807906578101564
SPT35443	SPT35553	0.803881924787707
SPT35443	SPT35532	0.812391548433194
SPT35443	SPT35384	0.810764414823791
SPT35443	SPT35522	0.807132754091736
SPT35443	SPT35361	0.811717171717172
