k	count	maf
1	0	0.001
2	100	0.002
3	84	0.003
4	49	0.004
5	53	0.005
6	40	0.006
7	36	0.007
8	37	0.008
9	53	0.009
10	32	0.01
11	38	0.011
12	31	0.012
13	23	0.013
14	24	0.014
15	22	0.015
16	28	0.016
17	15	0.017
18	19	0.018
19	18	0.019
20	25	0.02
21	22	0.021
22	19	0.022
23	20	0.023
24	14	0.024
25	21	0.025
26	18	0.026
27	16	0.027
28	17	0.028
29	23	0.029
30	20	0.03
31	19	0.031
32	16	0.032
33	13	0.033
34	12	0.034
35	10	0.035
36	12	0.036
37	16	0.037
38	9	0.038
39	8	0.039
40	14	0.04
41	5	0.041
42	17	0.042
43	22	0.043
44	14	0.044
45	8	0.045
46	10	0.046
47	11	0.047
48	13	0.048
49	11	0.049
50	11	0.05
51	7	0.051
52	15	0.052
53	10	0.053
54	10	0.054
55	13	0.055
56	10	0.056
57	16	0.057
58	4	0.058
59	11	0.059
60	15	0.06
61	8	0.061
62	11	0.062
63	10	0.063
64	10	0.064
65	17	0.065
66	8	0.066
67	11	0.067
68	9	0.068
69	12	0.069
70	11	0.07
71	11	0.071
72	5	0.072
73	6	0.073
74	8	0.074
75	6	0.075
76	4	0.076
77	2	0.077
78	7	0.078
79	9	0.079
80	5	0.08
81	7	0.081
82	5	0.082
83	8	0.083
84	8	0.084
85	3	0.085
86	6	0.086
87	10	0.087
88	11	0.088
89	2	0.089
90	4	0.09
91	8	0.091
92	3	0.092
93	1	0.093
94	8	0.094
95	7	0.095
96	12	0.096
97	3	0.097
98	6	0.098
99	5	0.099
100	10	0.1
101	9	0.101
102	6	0.102
103	3	0.103
104	5	0.104
105	5	0.105
106	8	0.106
107	8	0.107
108	4	0.108
109	7	0.109
110	6	0.11
111	6	0.111
112	5	0.112
113	9	0.113
114	5	0.114
115	6	0.115
116	7	0.116
117	5	0.117
118	7	0.118
119	7	0.119
120	3	0.12
121	4	0.121
122	12	0.122
123	3	0.123
124	2	0.124
125	6	0.125
126	4	0.126
127	4	0.127
128	8	0.128
129	8	0.129
130	4	0.13
131	8	0.131
132	2	0.132
133	3	0.133
134	3	0.134
135	6	0.135
136	4	0.136
137	4	0.137
138	2	0.138
139	3	0.139
140	5	0.14
141	5	0.141
142	0	0.142
143	3	0.143
144	4	0.144
145	3	0.145
146	4	0.146
147	4	0.147
148	6	0.148
149	2	0.149
150	2	0.15
151	2	0.151
152	3	0.152
153	7	0.153
154	3	0.154
155	5	0.155
156	4	0.156
157	5	0.157
158	3	0.158
159	5	0.159
160	4	0.16
161	3	0.161
162	5	0.162
163	3	0.163
164	3	0.164
165	3	0.165
166	6	0.166
167	4	0.167
168	4	0.168
169	3	0.169
170	4	0.17
171	4	0.171
172	5	0.172
173	3	0.173
174	3	0.174
175	6	0.175
176	6	0.176
177	2	0.177
178	1	0.178
179	1	0.179
180	2	0.18
181	2	0.181
182	3	0.182
183	2	0.183
184	5	0.184
185	2	0.185
186	3	0.186
187	1	0.187
188	2	0.188
189	3	0.189
190	2	0.19
191	3	0.191
192	7	0.192
193	3	0.193
194	7	0.194
195	2	0.195
196	1	0.196
197	2	0.197
198	4	0.198
199	5	0.199
200	2	0.2
201	0	0.201
202	4	0.202
203	4	0.203
204	4	0.204
205	3	0.205
206	4	0.206
207	5	0.207
208	4	0.208
209	1	0.209
210	7	0.21
211	1	0.211
212	1	0.212
213	3	0.213
214	3	0.214
215	1	0.215
216	2	0.216
217	1	0.217
218	3	0.218
219	3	0.219
220	1	0.22
221	2	0.221
222	0	0.222
223	5	0.223
224	1	0.224
225	4	0.225
226	0	0.226
227	4	0.227
228	3	0.228
229	2	0.229
230	3	0.23
231	4	0.231
232	1	0.232
233	7	0.233
234	0	0.234
235	2	0.235
236	1	0.236
237	1	0.237
238	4	0.238
239	6	0.239
240	1	0.24
241	2	0.241
242	4	0.242
243	0	0.243
244	1	0.244
245	1	0.245
246	3	0.246
247	4	0.247
248	5	0.248
249	4	0.249
250	5	0.25
251	6	0.251
252	1	0.252
253	2	0.253
254	2	0.254
255	5	0.255
256	3	0.256
257	5	0.257
258	1	0.258
259	3	0.259
260	3	0.26
261	3	0.261
262	2	0.262
263	2	0.263
264	1	0.264
265	5	0.265
266	1	0.266
267	1	0.267
268	1	0.268
269	1	0.269
270	4	0.27
271	0	0.271
272	3	0.272
273	4	0.273
274	3	0.274
275	0	0.275
276	1	0.276
277	1	0.277
278	0	0.278
279	2	0.279
280	3	0.28
281	3	0.281
282	4	0.282
283	1	0.283
284	4	0.284
285	0	0.285
286	4	0.286
287	1	0.287
288	2	0.288
289	1	0.289
290	4	0.29
291	2	0.291
292	1	0.292
293	0	0.293
294	1	0.294
295	2	0.295
296	1	0.296
297	2	0.297
298	3	0.298
299	1	0.299
300	3	0.3
301	2	0.301
302	5	0.302
303	1	0.303
304	1	0.304
305	3	0.305
306	3	0.306
307	3	0.307
308	3	0.308
309	2	0.309
310	1	0.31
311	2	0.311
