scenario_id,rec_rate,bottleneck_size,est,sampling_proportion,outbreak_size,n_populations,migration_rate
MIG001_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG002_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG003_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG004_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG005_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG006_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG007_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG008_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG009_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG010_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG011_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG012_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG013_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG014_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG015_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG016_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG017_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG018_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG019_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG020_very_low_tight_moderate_mlow,1e-09,1,0.3,0.05,1000,3,0.001
MIG021_very_low_tight_moderate_mlow,1e-09,1,0.3,0.1,1000,3,0.001
MIG022_very_low_tight_moderate_mlow,1e-09,1,0.3,0.1,1000,3,0.001
MIG023_very_low_tight_moderate_mlow,1e-09,1,0.3,0.1,1000,3,0.001
MIG024_very_low_tight_moderate_mlow,1e-09,1,0.3,0.1,1000,3,0.001
MIG025_very_low_tight_moderate_mlow,1e-09,1,0.3,0.1,1000,3,0.001
MIG026_very_low_tight_moderate_mlow,1e-09,1,0.3,0.1,1000,3,0.001
MIG027_very_low_tight_moderate_mlow,1e-09,1,0.3,0.1,1000,3,0.001
MIG028_very_low_tight_moderate_mlow,1e-09,1,0.3,0.1,1000,3,0.001
MIG029_very_low_tight_moderate_mlow,1e-09,1,0.3,0.1,1000,3,0.001
