replicate	method	rate	rate_label	aupr	auroc	spearman	brier	detectability	n_detectable	n_true_positives	prec_at_5	prec_at_10	prec_at_25	prec_at_50
rep1	IBD	1e-9	1e09	0.0021824087702380346	0.5	NA	0.25	1	5930	5930	0	0	0	0
rep1	IBS	1e-9	1e09	0.013460630493208397	0.5597240512997144	0.998296555447444	0.888896605109911	1	5930	5930	0	0.1	0.08	0.04
rep1	Phylo	1e-9	1e09	0.00797007984875829	0.66668298022519	-0.5984291541253103	0.0568565137976809	1	5930	5930	0.2	0.1	0.08	0.08
rep1	IBD	1e-8	1e08	0.00812463635868951	0.5	NA	0.25	1	6239	6239	0	0	0	0.02
rep1	IBS	1e-8	1e08	0.02349216012059815	0.7181189719321797	0.9907123503209212	0.7269989351577277	1	6239	6239	0	0	0	0.04
rep1	Phylo	1e-8	1e08	0.007147376600462517	0.8522014849662637	-0.9049426111941508	0.07573848572888589	1	6239	6239	0	0.1	0.08	0.08
rep1	IBD	1e-7	1e07	0.04260964533025673	0.5	NA	0.25	0.9815967975091738	17655	17986	0.2	0.1	0.08	0.04
rep1	IBS	1e-7	1e07	0.2618418152326277	0.8026687378150839	0.9178826135549714	0.204615478972224	0.9815967975091738	17655	17986	0	0	0	0.14
rep1	Phylo	1e-7	1e07	0.02908198211706967	0.7024836537639045	-0.6737729794272698	0.29469793886387263	0.9815967975091738	17655	17986	0.8	0.7	0.84	0.86
rep1	IBD	1e-6	1e06	0.41289293398956306	0.5	NA	0.25	0.4833028841834137	16137	33389	0.2	0.2	0.36	0.48
rep1	IBS	1e-6	1e06	0.6660467991218855	0.6961299352578404	0.5052271335314672	0.24930264436090432	0.4833028841834137	16137	33389	1	1	1	1
rep1	Phylo	1e-6	1e06	0.3971482647711586	0.5407324182331621	-0.1268519250030269	0.31035561113075605	0.4833028841834137	16137	33389	1	1	1	1
rep2	IBD	1e-9	1e09	0.005485424443621235	0.5	NA	0.25	1	5893	5893	0	0	0	0
rep2	IBS	1e-9	1e09	0.016517733682992874	0.644578428591638	0.9682288711526146	0.9302025066388703	1	5893	5893	0	0	0	0.02
rep2	Phylo	1e-9	1e09	0.006648641234702051	0.8340889064734246	-0.7724799660984568	0.026932264403767503	1	5893	5893	0	0	0.04	0.06
rep2	IBD	1e-8	1e08	0.008674536445685893	0.5	NA	0.25	1	6024	6024	0	0	0	0
rep2	IBS	1e-8	1e08	0.018706655316545067	0.6723493366355755	0.9778118662137936	0.860289958730002	1	6024	6024	0	0	0	0.04
rep2	Phylo	1e-8	1e08	0.006965263668271287	0.7948369521538192	-0.8695308486721146	0.0275122523763472	1	6024	6024	0	0	0.08	0.08
rep2	IBD	1e-7	1e07	0.02632768565900584	0.5	NA	0.25	1	13104	13104	0	0	0	0
rep2	IBS	1e-7	1e07	0.24255417341404706	0.787741207440386	0.9362286551003844	0.2799937506539485	1	13104	13104	0.8	0.5	0.72	0.86
rep2	Phylo	1e-7	1e07	0.018378496745984976	0.7103507989533054	-0.6824641938364057	0.24214902748683284	1	13104	13104	0.4	0.5	0.8	0.86
rep2	IBD	1e-6	1e06	0.1630132115463651	0.5	NA	0.25	0.6151100535395598	21714	35301	0.4	0.3	0.2	0.18
rep2	IBS	1e-6	1e06	0.4927650429654587	0.7565188911132926	0.4213140531799665	0.12385445780016904	0.6151100535395598	21714	35301	1	1	1	1
rep2	Phylo	1e-6	1e06	0.17007643248566007	0.48638485126540026	-0.11083630899049489	0.40174090849681426	0.6151100535395598	21714	35301	1	1	1	1
rep3	IBD	1e-9	1e09	0.0032184065463758686	0.5	NA	0.25	1	7750	7750	0	0	0	0
rep3	IBS	1e-9	1e09	0.019114392814371314	0.5954607560227627	0.7658994213664755	0.9044162920316766	1	7750	7750	0	0	0.08	0.08
rep3	Phylo	1e-9	1e09	0.008617370034618895	0.8550344873640882	-0.5332677184297596	0.039625824909820556	1	7750	7750	0.2	0.4	0.44	0.32
rep3	IBD	1e-8	1e08	0.00824976216901855	0.5	NA	0.25	1	9108	9108	0	0	0	0
rep3	IBS	1e-8	1e08	0.029302211057859184	0.6811933933599889	0.9805514583375509	0.7433680479181433	1	9108	9108	0.2	0.1	0.04	0.02
rep3	Phylo	1e-8	1e08	0.010159068425784087	0.8526034049972306	-0.8681459653095461	0.04908479832969472	1	9108	9108	0.2	0.1	0.04	0.02
rep3	IBD	1e-7	1e07	0.026838538817578275	0.5	NA	0.25	0.9991726835138387	13285	13296	0	0	0.04	0.02
rep3	IBS	1e-7	1e07	0.22621131270027997	0.768089067070655	0.9585787160621699	0.3165248349668799	0.9991726835138387	13285	13296	1	1	0.52	0.36
rep3	Phylo	1e-7	1e07	0.0203979970125604	0.6691268097638714	-0.7606565113518811	0.23352577756287357	0.9991726835138387	13285	13296	1	0.9	0.76	0.82
rep3	IBD	1e-6	1e06	0.37419116482820497	0.5	NA	0.25	0.4950492256481142	17549	35449	0.4	0.3	0.36	0.44
rep3	IBS	1e-6	1e06	0.6457636562135112	0.7085056932877511	0.5233999511108188	0.22469749089565633	0.4950492256481142	17549	35449	1	1	1	1
rep3	Phylo	1e-6	1e06	0.35584592013203525	0.5381029131332856	-0.09259736863734601	0.3462163843608694	0.4950492256481142	17549	35449	1	1	1	1
