relationship,n_pairs,n_detectable,detectability,mean_ibd,median_ibd,replicate,rate,rate_label
unrelated,493570,434730,0.88078691978848,0.963747587689486,1,rep1,1e-09,1e09
distant_ancestry,2568,2568,1,1,1,rep1,1e-09,1e09
transmission,1167,1167,1,1,1,rep1,1e-09,1e09
recent_ancestry,2195,2195,1,1,1,rep1,1e-09,1e09
unrelated,470369,233079,0.49552372711637,0.817613282893111,0.976370482374218,rep1,1e-08,1e08
recent_ancestry,2456,2279,0.927931596091205,0.980850065169605,1,rep1,1e-08,1e08
distant_ancestry,2505,2192,0.875049900199601,0.970560990366755,1,rep1,1e-08,1e08
transmission,1278,1252,0.979655712050078,0.99499235891075,1,rep1,1e-08,1e08
unrelated,404125,0,0,0.325465911044243,0.309759991011951,rep1,1e-07,1e07
recent_ancestry,5786,0,0,0.644255516624522,0.662439475010572,rep1,1e-07,1e07
distant_ancestry,10569,0,0,0.544177903060382,0.507551677378985,rep1,1e-07,1e07
transmission,1631,0,0,0.810118320014627,0.999926660019256,rep1,1e-07,1e07
recent_ancestry,14444,0,0,0.132055180170611,0.105797603499097,rep1,1e-06,1e06
unrelated,47477,0,0,0.0669640212477194,0.058748445426472,rep1,1e-06,1e06
transmission,4179,0,0,0.302192962731456,0.23056061393366,rep1,1e-06,1e06
distant_ancestry,14766,0,0,0.092152836838088,0.077710731511693,rep1,1e-06,1e06
unrelated,493607,362828,0.73505440563039,0.989457021207538,1,rep2,1e-09,1e09
recent_ancestry,2251,2247,0.998223011994669,0.999930649466869,1,rep2,1e-09,1e09
transmission,1097,1094,0.997265268915223,0.999895800016497,1,rep2,1e-09,1e09
distant_ancestry,2545,2545,1,1,1,rep2,1e-09,1e09
unrelated,491586,0,0,0.913859336813616,0.999979714473411,rep2,1e-08,1e08
distant_ancestry,2488,0,0,0.985860998629631,0.999979714473411,rep2,1e-08,1e08
recent_ancestry,2161,0,0,0.982964942920924,0.999979714473411,rep2,1e-08,1e08
transmission,1375,0,0,0.997159832217417,0.999979714473411,rep2,1e-08,1e08
unrelated,484623,0,0,0.434685228813955,0.420479955559093,rep2,1e-07,1e07
distant_ancestry,6316,0,0,0.609851647260804,0.578248297966298,rep2,1e-07,1e07
transmission,1756,0,0,0.864963963652417,0.999937582995111,rep2,1e-07,1e07
recent_ancestry,5032,0,0,0.69650659038108,0.684862784016878,rep2,1e-07,1e07
