k,n_transmission,n_ancestry,n_unrelated,prop_transmission,baseline_transmission,enrichment,replicate,rate,rate_label,method
5,0,0,5,0,0.00101507384662234,0,rep1,1e-09,1e09,IBD
10,0,0,10,0,0.00101507384662234,0,rep1,1e-09,1e09,IBD
25,0,0,25,0,0.00101507384662234,0,rep1,1e-09,1e09,IBD
50,0,0,50,0,0.00101507384662234,0,rep1,1e-09,1e09,IBD
100,0,0,100,0,0.00101507384662234,0,rep1,1e-09,1e09,IBD
5,0,0,5,0,0.00233633633633634,0,rep1,1e-09,1e09,IBS
10,0,1,9,0,0.00233633633633634,0,rep1,1e-09,1e09,IBS
25,1,1,23,0.04,0.00233633633633634,17.120822622108,rep1,1e-09,1e09,IBS
50,1,1,48,0.02,0.00233633633633634,8.56041131105399,rep1,1e-09,1e09,IBS
100,2,2,96,0.02,0.00233633633633634,8.56041131105399,rep1,1e-09,1e09,IBS
5,0,0,5,0,0.00157804632005458,0,rep1,1e-08,1e08,IBD
10,0,0,10,0,0.00157804632005458,0,rep1,1e-08,1e08,IBD
25,0,0,25,0,0.00157804632005458,0,rep1,1e-08,1e08,IBD
50,0,1,49,0,0.00157804632005458,0,rep1,1e-08,1e08,IBD
100,0,1,99,0,0.00157804632005458,0,rep1,1e-08,1e08,IBD
5,0,0,5,0,0.00268144890559957,0,rep1,1e-08,1e08,IBS
10,0,0,10,0,0.00268144890559957,0,rep1,1e-08,1e08,IBS
25,0,0,25,0,0.00268144890559957,0,rep1,1e-08,1e08,IBS
50,0,2,48,0,0.00268144890559957,0,rep1,1e-08,1e08,IBS
100,0,4,96,0,0.00268144890559957,0,rep1,1e-08,1e08,IBS
5,0,1,4,0,0.0038639125727593,0,rep1,1e-07,1e07,IBD
10,0,1,9,0,0.0038639125727593,0,rep1,1e-07,1e07,IBD
25,0,2,23,0,0.0038639125727593,0,rep1,1e-07,1e07,IBD
50,0,2,48,0,0.0038639125727593,0,rep1,1e-07,1e07,IBD
100,0,2,98,0,0.0038639125727593,0,rep1,1e-07,1e07,IBD
5,0,0,5,0,0.0038639125727593,0,rep1,1e-07,1e07,IBS
10,0,0,10,0,0.0038639125727593,0,rep1,1e-07,1e07,IBS
25,0,0,25,0,0.0038639125727593,0,rep1,1e-07,1e07,IBS
50,2,5,43,0.04,0.0038639125727593,10.3522011036174,rep1,1e-07,1e07,IBS
100,9,14,77,0.09,0.0038639125727593,23.2924524831392,rep1,1e-07,1e07,IBS
5,0,1,4,0,0.0516780847327678,0,rep1,1e-06,1e06,IBD
10,0,2,8,0,0.0516780847327678,0,rep1,1e-06,1e06,IBD
25,2,7,16,0.08,0.0516780847327678,1.54804498683896,rep1,1e-06,1e06,IBD
50,2,22,26,0.04,0.0516780847327678,0.774022493419478,rep1,1e-06,1e06,IBD
100,8,36,56,0.08,0.0516780847327678,1.54804498683896,rep1,1e-06,1e06,IBD
5,5,0,0,1,0.0516780847327678,19.350562335487,rep1,1e-06,1e06,IBS
10,10,0,0,1,0.0516780847327678,19.350562335487,rep1,1e-06,1e06,IBS
25,25,0,0,1,0.0516780847327678,19.350562335487,rep1,1e-06,1e06,IBS
50,50,0,0,1,0.0516780847327678,19.350562335487,rep1,1e-06,1e06,IBS
100,100,0,0,1,0.0516780847327678,19.350562335487,rep1,1e-06,1e06,IBS
5,0,0,5,0,0.00104009346593338,0,rep2,1e-09,1e09,IBD
10,0,0,10,0,0.00104009346593338,0,rep2,1e-09,1e09,IBD
25,0,0,25,0,0.00104009346593338,0,rep2,1e-09,1e09,IBD
50,0,0,50,0,0.00104009346593338,0,rep2,1e-09,1e09,IBD
100,0,0,100,0,0.00104009346593338,0,rep2,1e-09,1e09,IBD
5,0,0,5,0,0.0021961961961962,0,rep2,1e-09,1e09,IBS
10,0,0,10,0,0.0021961961961962,0,rep2,1e-09,1e09,IBS
25,0,0,25,0,0.0021961961961962,0,rep2,1e-09,1e09,IBS
50,0,1,49,0,0.0021961961961962,0,rep2,1e-09,1e09,IBS
100,0,4,96,0,0.0021961961961962,0,rep2,1e-09,1e09,IBS
5,0,0,5,0,0.00184345596526442,0,rep2,1e-08,1e08,IBD
10,0,0,10,0,0.00184345596526442,0,rep2,1e-08,1e08,IBD
25,0,0,25,0,0.00184345596526442,0,rep2,1e-08,1e08,IBD
50,0,0,50,0,0.00184345596526442,0,rep2,1e-08,1e08,IBD
100,0,1,99,0,0.00184345596526442,0,rep2,1e-08,1e08,IBD
5,0,0,5,0,0.00276320813488475,0,rep2,1e-08,1e08,IBS
10,0,0,10,0,0.00276320813488475,0,rep2,1e-08,1e08,IBS
25,0,0,25,0,0.00276320813488475,0,rep2,1e-08,1e08,IBS
50,0,2,48,0,0.00276320813488475,0,rep2,1e-08,1e08,IBS
100,0,4,96,0,0.00276320813488475,0,rep2,1e-08,1e08,IBS
5,0,0,5,0,0.00352803846285213,0,rep2,1e-07,1e07,IBD
10,0,0,10,0,0.00352803846285213,0,rep2,1e-07,1e07,IBD
25,0,0,25,0,0.00352803846285213,0,rep2,1e-07,1e07,IBD
50,0,0,50,0,0.00352803846285213,0,rep2,1e-07,1e07,IBD
100,1,1,98,0.01,0.00352803846285213,2.83443621867882,rep2,1e-07,1e07,IBD
5,2,2,1,0.4,0.00352803846285213,113.377448747153,rep2,1e-07,1e07,IBS
10,2,3,5,0.2,0.00352803846285213,56.6887243735763,rep2,1e-07,1e07,IBS
25,8,10,7,0.32,0.00352803846285213,90.7019589977221,rep2,1e-07,1e07,IBS
50,20,23,7,0.4,0.00352803846285213,113.377448747153,rep2,1e-07,1e07,IBS
100,34,43,23,0.34,0.00352803846285213,96.3708314350797,rep2,1e-07,1e07,IBS
5,0,2,3,0,0.0182495740072869,0,rep2,1e-06,1e06,IBD
10,0,3,7,0,0.0182495740072869,0,rep2,1e-06,1e06,IBD
25,0,5,20,0,0.0182495740072869,0,rep2,1e-06,1e06,IBD
50,0,9,41,0,0.0182495740072869,0,rep2,1e-06,1e06,IBD
100,2,13,85,0.02,0.0182495740072869,1.09591599190283,rep2,1e-06,1e06,IBD
