rate,method,k,enrichment_mean,enrichment_se,prop_transmission_mean,baseline_transmission_mean
1e-09,IBD,5,0,0,0,0.000968406024823321
1e-09,IBD,10,0,0,0,0.000968406024823321
1e-09,IBD,25,0,0,0,0.000968406024823321
1e-09,IBD,50,0,0,0,0.000968406024823321
1e-09,IBD,100,0,0,0,0.000968406024823321
1e-09,IBS,5,0,0,0,0.00234994994994995
1e-09,IBS,10,0,0,0,0.00234994994994995
1e-09,IBS,25,3.42416452442159,3.42416452442159,0.008,0.00234994994994995
1e-09,IBS,50,1.7120822622108,1.7120822622108,0.004,0.00234994994994995
1e-09,IBS,100,2.56374466630287,1.71099283324092,0.006,0.00234994994994995
1e-08,IBD,5,0,0,0,0.0014814643987434
1e-08,IBD,10,0,0,0,0.0014814643987434
1e-08,IBD,25,0,0,0,0.0014814643987434
1e-08,IBD,50,0,0,0,0.0014814643987434
1e-08,IBD,100,0,0,0,0.0014814643987434
1e-08,IBS,5,13.9745610278373,13.9745610278373,0.04,0.00268473242725645
1e-08,IBS,10,6.98728051391863,6.98728051391863,0.02,0.00268473242725645
1e-08,IBS,25,2.79491220556745,2.79491220556745,0.008,0.00268473242725645
1e-08,IBS,50,1.39745610278373,1.39745610278373,0.004,0.00268473242725645
1e-08,IBS,100,1.39745610278373,1.39745610278373,0.004,0.00268473242725645
1e-07,IBD,5,0,0,0,0.00505106004225046
1e-07,IBD,10,0,0,0,0.00505106004225046
1e-07,IBD,25,0,0,0,0.00505106004225046
1e-07,IBD,50,1.10672318561336,1.10672318561336,0.004,0.00505106004225046
1e-07,IBD,100,1.12024883654244,0.686092840245525,0.004,0.00505106004225046
1e-07,IBS,5,57.3564015198837,18.0147407231718,0.28,0.00505106004225046
1e-07,IBS,10,51.5228686761141,21.4423368150942,0.24,0.00505106004225046
1e-07,IBS,25,42.2802590983993,17.5690312947754,0.176,0.00505106004225046
1e-07,IBS,50,44.4130800493727,18.9051138245732,0.208,0.00505106004225046
1e-07,IBS,100,50.5107932737454,15.7008081751201,0.22,0.00505106004225046
1e-06,IBD,5,0,0,0,0.0355477872399522
1e-06,IBD,10,0,0,0,0.0355477872399522
1e-06,IBD,25,0.309608997367791,0.309608997367791,0.016,0.0355477872399522
1e-06,IBD,50,0.525591944119208,0.234427926382567,0.02,0.0355477872399522
1e-06,IBD,100,0.963753610814907,0.259750844053195,0.034,0.0355477872399522
1e-06,IBS,5,31.8897609938968,6.18504420917434,1,0.0355477872399522
1e-06,IBS,10,31.8897609938968,6.18504420917434,1,0.0355477872399522
1e-06,IBS,25,31.8897609938968,6.18504420917434,1,0.0355477872399522
1e-06,IBS,50,31.8897609938968,6.18504420917434,1,0.0355477872399522
1e-06,IBS,100,31.8897609938968,6.18504420917434,1,0.0355477872399522
