replicate,rate,rate_label,method,aupr_overall,auroc_overall,n_pos_overall,n_neg_overall,aupr_transmission,auroc_transmission,n_pos_transmission,n_neg_transmission,aupr_discrimination,auroc_discrimination,spearman,prec_at_10_trans,prec_at_25_trans,prec_at_50_trans
rep1,1e-09,1e09,IBD,0.00218240877023803,0.5,129,58980,0.00101507384662234,0.5,60,59049,0.465116279069768,0.5,,0,0,0
rep1,1e-09,1e09,IBS,0.0134606304932084,0.559724051299714,5930,493570,0.00264899760296361,0.559153216824894,1167,498333,0.196795952782462,0.5,0.998296555447444,0,0.04,0.02
rep1,1e-08,1e08,IBD,0.00812463635868951,0.5,1941,236962,0.00157804632005458,0.5,377,238526,0.194229778464709,0.5,,0,0,0
rep1,1e-08,1e08,IBS,0.0234921601205982,0.71811897193218,6239,470369,0.00516946361546938,0.739535877833593,1278,475330,0.217983980521721,0.537414840450349,0.990712350320921,0,0,0
rep1,1e-07,1e07,IBD,0.0426096453302567,0.5,17986,404125,0.0038639125727593,0.5,1631,420480,0.0906816412765484,0.5,,0,0,0
rep1,1e-07,1e07,IBS,0.261841815232628,0.802668737815084,17986,404125,0.132728441331823,0.901975482371844,1631,420480,0.255184074337091,0.744012437860836,0.917882613554971,0,0,0.04
rep1,1e-06,1e06,IBD,0.412892933989563,0.5,33389,47477,0.0516780847327678,0.5,4179,76687,0.12516098116146,0.5,,0,0.08,0.04
rep1,1e-06,1e06,IBS,0.666046799121886,0.69612993525784,33389,47477,0.475271489260851,0.830845104712748,4179,76687,0.509549024569213,0.770381496173586,0.505227133531467,1,1,1
rep2,1e-09,1e09,IBD,0.00548542444362124,0.5,770,139602,0.00104009346593338,0.5,146,140226,0.18961038961039,0.5,,0,0,0
rep2,1e-09,1e09,IBS,0.0165177336829929,0.644578428591638,5893,493607,0.00307588778757588,0.643312740894417,1097,498403,0.186216262094721,0.500208507089241,0.968228871152615,0,0,0
rep2,1e-08,1e08,IBD,0.00867453644568589,0.5,1854,211875,0.00184345596526442,0.5,394,213335,0.212513484358145,0.5,,0,0,0
rep2,1e-08,1e08,IBS,0.0187066553165451,0.672349336635576,6024,491586,0.00466476175531036,0.702822080813984,1375,496235,0.246682195809992,0.548038326912924,0.977811866213793,0,0,0
rep2,1e-07,1e07,IBD,0.0263276856590058,0.5,13104,484623,0.00352803846285213,0.5,1756,495971,0.134004884004884,0.5,,0,0,0
rep2,1e-07,1e07,IBS,0.242554173414047,0.787741207440386,13104,484623,0.222965480901652,0.923950584470253,1756,495971,0.376182192845421,0.781981617183605,0.936228655100384,0.2,0.32,0.4
rep2,1e-06,1e06,IBD,0.163013211546365,0.5,35301,181252,0.0182495740072869,0.5,3952,212601,0.111951502790289,0.5,,0,0,0
rep2,1e-06,1e06,IBS,0.492765042965459,0.756518891113293,35301,181252,0.464623869555979,0.902821407513156,3952,212601,0.513341456416501,0.798047453682927,0.421314053179967,1,1,1
rep3,1e-09,1e09,IBD,0.00321840654637587,0.5,188,58226,0.000924435922895196,0.5,54,58360,0.287234042553192,0.5,,0,0,0
rep3,1e-09,1e09,IBS,0.0191143928143713,0.595460756022763,7750,491750,0.00269683419427121,0.596370071346597,1088,498412,0.141042260824475,0.502701891323927,0.765899421366476,0,0,0
rep3,1e-08,1e08,IBD,0.00824976216901855,0.5,1665,200159,0.00164499762169019,0.5,332,201492,0.199399399399399,0.5,,0,0,0
rep3,1e-08,1e08,IBS,0.0293022110578592,0.681193393359989,9108,481896,0.00437917281170503,0.694564585854316,1310,489694,0.148344811550214,0.517657443971737,0.980551458337551,0,0,0
rep3,1e-07,1e07,IBD,0.0268385388175783,0.5,13296,482111,0.00311662935727594,0.5,1544,493863,0.116125150421179,0.5,,0,0,0
rep3,1e-07,1e07,IBS,0.22621131270028,0.768089067070655,13296,482111,0.171093595581956,0.921873869380549,1544,493863,0.311563932966951,0.780216772715569,0.95857871606217,0.4,0.24,0.16
rep3,1e-06,1e06,IBD,0.374191164828205,0.5,35449,59286,0.0436480709347126,0.5,4135,90600,0.116646449829332,0.5,,0,0,0
rep3,1e-06,1e06,IBS,0.645763656213511,0.708505693287751,35449,59286,0.462254946715604,0.844306197298142,4135,90600,0.496606979073322,0.775556208406345,0.523399951110819,1,1,1
rep4,1e-09,1e09,IBD,0.000501756146512795,0.5,3,5976,0.000501756146512795,0.5,3,5976,,,,0,0,0
rep4,1e-09,1e09,IBS,0.0148145178476854,0.52596354362318,7021,492479,0.00283587978739342,0.525667662338705,1344,498156,0.191425722831506,0.5,0.493187912672587,0,0,0
rep4,1e-08,1e08,IBD,0.00846475576531983,0.5,1103,129202,0.000851847588350409,0.5,111,130194,0.100634632819583,0.5,,0,0,0
rep4,1e-08,1e08,IBS,0.0185055671242475,0.60726962695192,7258,490974,0.00330816751621552,0.630135414647771,1220,497012,0.178494379297067,0.534948739947545,0.988867252868903,0,0,0
rep4,1e-07,1e07,IBD,0.0963049917206316,0.5,12388,116245,0.0111324465728079,0.5,1432,127201,0.115595737810785,0.5,,0,0,0
rep4,1e-07,1e07,IBS,0.541206503829332,0.822166187516643,12388,116245,0.307990794821803,0.939610431697442,1432,127201,0.348554491080891,0.788706533855075,0.722604152665786,0.5,0.24,0.4
rep4,1e-06,1e06,IBD,0.315377803016475,0.5,46651,101270,0.0311652841719567,0.5,4610,143311,0.0988188891985167,0.5,,0,0,0.02
rep4,1e-06,1e06,IBS,0.574326104990168,0.694284444958303,46651,101270,0.419324500625253,0.850844263869132,4610,143311,0.458810451321353,0.779265048100705,0.462751349366898,1,1,1
rep5,1e-09,1e09,IBD,0.00670546372931462,0.5,1370,202941,0.00136067074215289,0.5,278,204033,0.202919708029197,0.5,,0,0,0
rep5,1e-09,1e09,IBS,0.0203327875779351,0.693148808225878,6276,493224,0.00380490722049975,0.691471097928793,1173,498327,0.187139467816217,0.500776585459734,0.580272416207628,0,0,0
rep5,1e-08,1e08,IBD,0.00994225299961397,0.5,1262,125671,0.0014889744983574,0.5,189,126744,0.149762282091918,0.5,,0,0,0
rep5,1e-08,1e08,IBS,0.0198968272497868,0.594955127633145,7846,481613,0.00382370782013048,0.625301502659834,1401,488058,0.190863702391438,0.538990159417329,0.901367246548898,0.1,0.04,0.02
rep5,1e-07,1e07,IBD,0.0363377221489721,0.5,15654,415138,0.00361427324555702,0.5,1557,429235,0.0994633959371407,0.5,,0,0,0.02
rep5,1e-07,1e07,IBS,0.197977714402232,0.784376006542554,15654,415138,0.135906723832722,0.921027879213261,1557,429235,0.347114907276784,0.801854287039304,0.918264608018023,0.1,0.08,0.04
rep5,1e-06,1e06,IBD,0.339234937059519,0.5,41636,81099,0.032997922353037,0.5,4050,118685,0.0972715918916322,0.5,,0,0,0.04
rep5,1e-06,1e06,IBS,0.599995361874561,0.688547270920869,41636,81099,0.453582883956763,0.848421133439122,4050,118685,0.486076113324994,0.782324956166369,0.510050240459053,1,1,1
