rec_rate,bottleneck_size,est,chr_length,n_populations,migration_rate,Ne,outbreak_size,sampling_proportion,generations,mutation_rate,s,h,g_sel_start,selfing_rate,replicate_id,scenario_id,outdir,rec_category,bottle_category,est_category
1e-09,1,0.3,640851,3,0.001,10000,1000,0.05,200,2.13e-08,0.0,0.5,80,0.0,1,MIG001_very_low_tight_moderate_mlow,sim_migration,very_low,tight,
1e-09,1,0.3,640851,3,0.001,10000,1000,0.05,200,2.13e-08,0.0,0.5,80,0.0,2,MIG002_very_low_tight_moderate_mlow,sim_migration,very_low,tight,
1e-09,1,0.3,640851,3,0.001,10000,1000,0.05,200,2.13e-08,0.0,0.5,80,0.0,3,MIG003_very_low_tight_moderate_mlow,sim_migration,very_low,tight,
1e-09,1,0.3,640851,3,0.001,10000,1000,0.05,200,2.13e-08,0.0,0.5,80,0.0,4,MIG004_very_low_tight_moderate_mlow,sim_migration,very_low,tight,
1e-09,1,0.3,640851,3,0.001,10000,1000,0.05,200,2.13e-08,0.0,0.5,80,0.0,5,MIG005_very_low_tight_moderate_mlow,sim_migration,very_low,tight,
1e-09,1,0.3,640851,3,0.001,10000,1000,0.05,200,2.13e-08,0.0,0.5,80,0.0,6,MIG006_very_low_tight_moderate_mlow,sim_migration,very_low,tight,
1e-09,1,0.3,640851,3,0.001,10000,1000,0.05,200,2.13e-08,0.0,0.5,80,0.0,7,MIG007_very_low_tight_moderate_mlow,sim_migration,very_low,tight,
1e-09,1,0.3,640851,3,0.001,10000,1000,0.05,200,2.13e-08,0.0,0.5,80,0.0,8,MIG008_very_low_tight_moderate_mlow,sim_migration,very_low,tight,
1e-09,1,0.3,640851,3,0.001,10000,1000,0.05,200,2.13e-08,0.0,0.5,80,0.0,9,MIG009_very_low_tight_moderate_mlow,sim_migration,very_low,tight,
1e-09,1,0.3,640851,3,0.001,10000,1000,0.05,200,2.13e-08,0.0,0.5,80,0.0,10,MIG010_very_low_tight_moderate_mlow,sim_migration,very_low,tight,
1e-09,1,0.3,640851,3,0.001,10000,1000,0.05,200,2.13e-08,0.0,0.5,80,0.0,11,MIG011_very_low_tight_moderate_mlow,sim_migration,very_low,tight,
1e-09,1,0.3,640851,3,0.001,10000,1000,0.05,200,2.13e-08,0.0,0.5,80,0.0,12,MIG012_very_low_tight_moderate_mlow,sim_migration,very_low,tight,
1e-09,1,0.3,640851,3,0.001,10000,1000,0.05,200,2.13e-08,0.0,0.5,80,0.0,13,MIG013_very_low_tight_moderate_mlow,sim_migration,very_low,tight,
